T1P,SYN,ERP,T1,N,NF,SC,AVE,Spain,Italy,Brazil,Portugal,United Kingdom,Switzerland,Germany,France
0,0,0,0,0,581,0,1.50%,3.70%,0.00%,1.40%,0.50%,1.00%,2.70%,3.60%,0.80%
1,0,0,0,1,10,9,3.60%,8.80%,0.00%,3.40%,1.30%,2.40%,6.60%,8.60%,2.10%
0,1,0,0,1,73,12,4.90%,11.70%,0.00%,4.60%,1.80%,3.20%,8.80%,11.40%,2.80%
0,0,1,0,1,37,12,4.90%,11.70%,0.00%,4.60%,1.80%,3.20%,8.80%,11.40%,2.80%
0,0,0,1,1,227,14,5.90%,14.10%,0.00%,5.60%,2.20%,4.00%,10.60%,13.80%,3.40%
1,1,0,0,2,2,21,11.50%,26.40%,0.00%,11.00%,4.30%,7.80%,20.20%,25.80%,6.60%
1,0,1,0,2,7,21,11.50%,26.40%,0.00%,11.00%,4.30%,7.80%,20.20%,25.80%,6.60%
1,0,0,1,2,16,23,13.90%,31.20%,0.00%,13.30%,5.20%,9.40%,24.10%,30.50%,8.10%
0,1,1,0,2,11,24,15.20%,33.80%,0.00%,14.50%,5.80%,10.40%,26.30%,33.10%,8.90%
0,1,0,1,2,71,26,18.30%,39.60%,0.00%,17.50%,7.00%,12.50%,31.10%,38.80%,10.70%
0,0,1,1,2,19,26,18.30%,39.60%,0.00%,17.50%,7.00%,12.50%,31.10%,38.80%,10.70%
1,1,1,0,3,2,33,33.40%,63.80%,0.00%,32.00%,13.60%,23.60%,52.80%,62.80%,20.40%
1,1,0,1,3,16,35,39.10%,71.10%,0.00%,37.60%,16.30%,28.10%,60.00%,70.10%,24.30%
1,0,1,1,3,7,35,39.10%,71.10%,0.00%,37.60%,16.30%,28.10%,60.00%,70.10%,24.30%
0,1,1,1,3,18,38,48.80%,81.30%,0.00%,47.10%,21.40%,35.90%,71.00%,80.40%,31.40%
1,1,1,1,4,13,47,80.70%,98.40%,0.00%,79.10%,44.70%,66.50%,95.20%,98.20%,60.40%
